source_id,title,url,retrieved_date,authority,use,limitations
um_palmer_directory,Christopher Palmer official UM directory,https://directory.apps.umt.edu/details/c308a389fbc1ff830511f3224e456ad6,2026-09-21,University of Montana,"primary Palmer email and role","directory banner/title history conflict; current-position text used"
um_ward_directory,Tony Ward official UM directory,https://directory.apps.umt.edu/index.php/details/fae75869b548a6f290609df64f95b8c6,2026-09-21,University of Montana,"primary Ward email; role; phone; address","does not establish custody of the requested spreadsheet"
um_fairbanks_publication,Official UM Fairbanks comparison publication record,https://umimpact.umt.edu/en/publications/comparison-and-evaluation-of-methods-to-apportion-ambient-pmsub25/,2026-09-21,University of Montana,"Palmer/Ward Fairbanks relevance","publication metadata only"
dri_watson_directory,John Watson official DRI directory,https://www.dri.edu/directory/john-watson/,2026-09-21,Desert Research Institute,"role; NFRAQS/CMB relevance; contact cross-check","does not establish present-day archive custody"
dri_chow_directory,Judith Chow official DRI directory,https://www.dri.edu/directory/judith-chow/,2026-09-21,Desert Research Institute,"role and institutional relevance","email is supplied by the EAF page"
dri_eaf,Environmental Analysis Facility official page,https://www.dri.edu/labs/eaf/,2026-09-21,Desert Research Institute,"Watson/Chow emails; roles; phones; address","laboratory page does not identify historical-file custody"
adec_online_services,ADEC Online Services public-records route,https://dec.alaska.gov/online-services/,2026-09-21,Alaska Department of Environmental Conservation,"current official form link","downloadable form; no separate public-records web portal shown"
adec_records_form,ADEC Public Records Request Form,https://dec.alaska.gov/media/x5yl25jk/public-records-request-form.docx,2026-09-21,Alaska Department of Environmental Conservation,"official form link and indexed form metadata","DOCX bytes were blocked by DataDome during this audit; verify the current downloaded fields before optional form use"
adec_contacts,ADEC contact directory,https://dec.alaska.gov/contact/,2026-09-21,Alaska Department of Environmental Conservation,"ANPMS and AMQA program routing contacts","contact page is not itself proof of formal intake"
adec_anpms_contacts,ADEC Air Non-Point and Mobile Sources contacts,https://dec.alaska.gov/air/anpms/contacts/,2026-09-21,Alaska Department of Environmental Conservation,"Fairbanks PM2.5 first contact and program routing","topic contact page; formal public-records form remains optional"
adec_fairbanks_research,ADEC Fairbanks PM2.5 research page,https://dec.alaska.gov/air/anpms/communities/fbks-pm2-5-science/,2026-09-21,Alaska Department of Environmental Conservation,"supports ANPMS as primary subject-matter custodian","does not prove exact archive custody"
adec_amqa_requests,ADEC Air Quality Data Requests,https://dec.alaska.gov/air/air-monitoring/responsibilities/database-management,2026-09-21,Alaska Department of Environmental Conservation,"AMQA coordination email","monitoring-data route; not represented as public-records intake"
alaska_apra_guidance,Alaska Department of Law public-records guidance,https://law.alaska.gov/doclibrary/APRA.html,2026-09-21,Alaska Department of Law,"email-body submission guidance; scope and fee guidance","general statewide guidance; DEC routing sources remain controlling for subject contacts"
alaska_public_records_regulations,2 AAC 96 public-records regulations,https://dec.alaska.gov/media/18536/3-08-2aac96.pdf,2026-09-21,State of Alaska,"optional form; sufficient description; internal forwarding","official PDF; requestor must assess litigation certification truthfully"
cycle03_draft,Cycle 03 ADEC draft,outputs/cycle03/Fairbanks_ADEC_Public_Records_Request_DRAFT.md,2026-09-21,PFFLS repository,"technical scope and duplication guardrails","draft only; superseded for submission preparation by outreach03 files"
