channel,record_or_search,url,accessed_utc,outcome,package_recovered,evidence_or_count,scientific_use,notes
ADEC,current Fairbanks PM2.5 science page,https://dec.alaska.gov/air/anpms/communities/fbks-pm2-5-science/,2026-09-21,report_links_only,no,"Executive summary and final PDF exposed",provenance,"No native CMB attachment"
ADEC,current linked final report binary,https://dec.alaska.gov/media/7083/fairbanks-cmb-report-univ-mt-final-122313.pdf,2026-09-21,report_only,no,"171 pages; 2972382 bytes; SHA-256 037ff139329d154bf55bbdbc61b4f6403678372ef5d3525b74ffdb0f6a67fa0f",methods_and_tables,"Binary differs from ADEC media/17116 re-export"
ADEC,indexed final report re-export,https://dec.alaska.gov/media/17116/fairbanks-cmb-final-report-122313.pdf,2026-09-21,report_only,no,"171 pages; 3282497 bytes; SHA-256 9d71371a413b517a4cbaa441be01477bab4ef58d831aac55caab5c0658ca534e",methods_and_tables,"Binary differs from current media/7083 file"
Wayback,legacy ADEC SIP directory CDX inventory,https://web.archive.org/cdx/search/cdx?url=dec.alaska.gov/air/anpms/comm/docs/fbxSIPpm2-5/*&output=json&fl=timestamp%2Coriginal%2Cmimetype%2Cstatuscode%2Cdigest%2Clength&filter=statuscode%3A200&collapse=urlkey,2026-09-21,no_electronic_package,no,"203 unique URLs: 200 PDF; 1 JPEG; 2 PNG; no ZIP/CSV/XLS/XLSX/DBF/IN8/SEL",archive_inventory,"Local inventory SHA-256 da81c8860ec655010d80d7ebb2248293127637f83c12d6b632a394fee6ea2fc8"
Wayback,archived 1 March 2013 Ward report,https://web.archive.org/web/20131230105641id_/http://dec.alaska.gov/air/anpms/comm/docs/fbxSIPpm2-5/Fairbanks_CMB_Report_Univ_MT_Final_030113.pdf,2026-09-21,new_report_level_lead,no,"35 pages; Table 12 has 39 radiocarbon rows and 37 CMB comparisons",exact_date_crosswalk,"Not a native CMB package"
EPA,official CMB model download page,https://www.epa.gov/scram/chemical-mass-balance-cmb-model,2026-09-21,no_fairbanks_dataset,no,"Published datasets: PACS; SJVF; COAST; NARSTO; NFRAQS",negative_package_search,"Fairbanks absent"
EPA,EPA-CMB8.2 user manual,https://www.epa.gov/sites/default/files/2020-10/documents/epa-cmb82manual.pdf,2026-09-21,file_contract_only,no,"Defines IN*.in8; AD*; PR*; selector; report; database files",request_scope,"Used to name the requested native artifacts"
EPA HERO,Fairbanks report bibliographic record 2010161,https://hero.epa.gov/reference/2010161/,2026-09-21,bibliographic_only,no,"No package or supplement",provenance,"No downloadable native analysis files"
EPA AirData,daily data download index,https://aqs.epa.gov/aqsweb/airdata/download_files.html,2026-09-21,monitoring_data_only,no,"Public daily speciation tables",candidate_receptor_context,"Not the original CMB AD*/uncertainty package"
EPA AQS,raw-data schema,https://aqs.epa.gov/aqsweb/helpfiles/raw_data_record.htm,2026-09-21,schema_only,no,"Schema supports MDL and Uncertainty Value",uncertainty_context,"Identity with historical CMB inputs not established"
EPA AQS,data API documentation,https://aqs.epa.gov/aqsweb/documents/data_api.html,2026-09-21,api_requires_key_for_row_data,no,"No credentials used",boundary,"No restricted or credentialed search"
EPA docket,EPA-R10-OAR-2015-0131 document index,https://www.regulations.gov/docket/EPA-R10-OAR-2015-0131/document,2026-09-21,no_package_in_index,no,"37 indexed records searched",negative_package_search,"Local index SHA-256 e8c812d4ce639cd87f6fec1f210232823b1b1e07cdb96ed4ec9506841168464d"
University of Montana,Ward directory and CV,https://directory.apps.umt.edu/index.php/details/fae75869b548a6f290609df64f95b8c6,2026-09-21,report_provenance_only,no,"Lists 2010; 2012; 2013 reports and Amendments 6 and 7",request_scope,"No electronic appendix"
University of Montana,FY11 Award Volume,https://www.umt.edu/sponsored-programs/awardvol/docs/fy11/fy11-award-volume.pdf,2026-09-21,internal_project_locator_only,no,"Fund 328961 — PM2.5 Source Apportionment — AK DEPT OF ENVIRON CONS",request_scope,"UM internal identifier; not represented as an ADEC contract number"
University of Montana,ScholarWorks thesis record,https://scholarworks.umt.edu/etd/723/,2026-09-21,no_cmb_package,no,"Related thesis record",context,"No native project files"
University of Alaska,institutional repository search,https://scholarworks.alaska.edu/,2026-09-21,no_cmb_package,no,"Relevant repository paths searched",negative_package_search,"No exact Fairbanks CMB electronic delivery found"
AAQR,Ward Fairbanks paper,https://aaqr.org/articles/aaqr-11-11-oa-0208,2026-09-21,article_only,no,"No supplement containing native files",context,"No electronic package"
AAQR,Busby method-comparison paper,https://aaqr.org/articles/aaqr-15-04-simts-0235,2026-09-21,article_only,no,"No native CMB package",context,"EPA/Missoula CMB comparison; not OMNI"
FNSB,Source Apportionment presentation,https://www.fnsb.gov/DocumentCenter/View/645/Source-Apportionment-PDF,2026-09-21,presentation_only,no,"No input or output archive",context,"No electronic package"
