claim_id,layer,metric,locked_value,authoritative_lock_source,historical_anchor_locator,lock_disposition,recomputed_from_raw,reproduction_status,input_artifact_status,recomputation_disposition,notes
JRC_DAILY_SAMPLES,JRC,daily_samples,364,PROJECT_STATE.md,"R3l PDF p.1 abstract; p.16 Supplement S1",KEEP,no,BLOCKED_MISSING_CORE_ARCHIVE,missing_row_level_inputs_code_and_outputs,HOLD,"Reported value cross-checked; not independently recomputed"
JRC_SPECIES,JRC,species,38,PROJECT_STATE.md,"R3l PDF p.1 abstract; p.16 Supplement S1",KEEP,no,BLOCKED_MISSING_CORE_ARCHIVE,missing_row_level_inputs_code_and_outputs,HOLD,"Reported value cross-checked; not independently recomputed"
JRC_PROFILE_SETS,JRC,frozen_profile_sets,12,PROJECT_STATE.md,"R3l PDF p.1 abstract; p.19 Table S4",KEEP,no,BLOCKED_MISSING_CORE_ARCHIVE,missing_exact_profile_set_archive,HOLD,"Do not change the profile universe after observing outcomes"
JRC_COMPARISONS,JRC,prespecified_one_profile_comparisons,30,PROJECT_STATE.md,"R3l PDF p.1 abstract; p.19 text before Table S5",KEEP,no,BLOCKED_MISSING_CORE_ARCHIVE,missing_comparison_registry_and_outputs,HOLD,"Denominator for the primary discordance count"
JRC_DISCORDANCE,JRC,primary_lower_mean_reduced_chi_square_discordances,9,PROJECT_STATE.md,"R3l PDF p.1 abstract; p.6 Table 1; p.19 Table S5",KEEP,no,BLOCKED_MISSING_CORE_ARCHIVE,missing_row_level_comparison_outputs,HOLD,"Numerator locked to the 30-comparison universe"
EPA_ELIGIBLE,EPA,eligible_substitutions,345,PROJECT_STATE.md,"R3l PDF p.5 Methods; p.21 Supplement S7; p.22 Table S9",KEEP,no,BLOCKED_MISSING_CORE_ARCHIVE,missing_substitution_registry,HOLD,"Reference-free field-data sensitivity layer"
EPA_CONVERGED,EPA,converged,323,PROJECT_STATE.md,"R3l PDF p.1 abstract; p.5 Methods; p.22 Table S9",KEEP,no,BLOCKED_MISSING_CORE_ARCHIVE,missing_run_level_outputs,HOLD,"No failed run may be silently reclassified"
EPA_TWO_DIAGNOSTIC,EPA,preserved_r2_and_reduced_chi_square_ranges,283,PROJECT_STATE.md,"R3l PDF p.7 Results; p.22 Table S9",KEEP,no,BLOCKED_MISSING_CORE_ARCHIVE,missing_run_level_diagnostic_outputs,HOLD,"Two-diagnostic denominator"
EPA_ORDERING,EPA,ordering_changes_within_two_diagnostic_set,133,PROJECT_STATE.md,"R3l PDF p.1 abstract; p.7 Results; p.22 Table S9",KEEP,no,BLOCKED_MISSING_CORE_ARCHIVE,missing_source_contribution_rank_outputs,HOLD,"Sensitivity result; not external accuracy"
EPA_LARGEST,EPA,largest_source_changes_within_two_diagnostic_set,62,PROJECT_STATE.md,"R3l PDF p.1 abstract; p.7 Results; p.22 Table S9",KEEP,no,BLOCKED_MISSING_CORE_ARCHIVE,missing_source_contribution_rank_outputs,HOLD,"Sensitivity result; not environmental truth"
EPA_STRICT_SUBSET,EPA,also_preserved_percent_mass,26,PROJECT_STATE.md,"R3l PDF p.7 Results; p.22 Table S9",KEEP,no,BLOCKED_MISSING_CORE_ARCHIVE,missing_percent_mass_outputs,HOLD,"Stricter nested subset"
EPA_STRICT_ORDERING,EPA,ordering_changes_within_strict_subset,10,PROJECT_STATE.md,"R3l PDF p.7 Results; p.22 Table S9",KEEP,no,BLOCKED_MISSING_CORE_ARCHIVE,missing_source_contribution_rank_outputs,HOLD,"Sensitivity result within strict subset"
EPA_STRICT_LARGEST,EPA,largest_source_changes_within_strict_subset,2,PROJECT_STATE.md,"R3l PDF p.7 Results; p.22 Table S9",KEEP,no,BLOCKED_MISSING_CORE_ARCHIVE,missing_source_contribution_rank_outputs,HOLD,"Sensitivity result within strict subset"
