source_id,title,url,retrieval_date,sha256,rights_status,repository_action,evidence_role,notes
drive_master_handoff,PFFLS Codex master handoff,https://drive.google.com/drive/folders/1PAkw7SDbEU951HcThwr4QRb87IM1T1xD,2026-09-20,,project-controlled; access through shared Drive,metadata only,governing handoff,"Exact R3nR7-AE manuscript/source was not present in the searched Drive tree"
github_issue_1,Codex Cycle 01 mandate,https://github.com/shaikhamalkawi-ux/PFFLS-CMB-Source-Attribution-Stability/issues/1,2026-09-20,,project-controlled,tracked in repository,cycle-specific protocol,eight-object admission rule and public-repository rights boundary
github_issue_2,Codex Master Mandate,https://github.com/shaikhamalkawi-ux/PFFLS-CMB-Source-Attribution-Stability/issues/2,2026-09-20,,project-controlled,tracked in repository,master mandate,authorizes research and candidate package but preserves scientific locks
nfraqs_portable_dossier,PFFLS NFRAQS External Validation R4 Portable Reviewed Final,https://drive.google.com/file/d/1L4cTAqWvtFu_96hrGc48YBEpLWLafLbf/view,2026-09-20,e0b12c522aaf914803832ba66a1186155d5504fe3d091eeeaa973c488d4ef01e,project review package; embedded third-party bytes not redistributed,hash and derived findings only,prior audited dossier,rerun passed locally on 2026-09-20
nfraqs_epa_archive,Official EPA NFRAQS CMB archive,https://19january2021snapshot.epa.gov/sites/static/files/2020-10/nfraqs_data.zip,2026-08-28,a7ffb7efd205d4c727a892b2427608cdc40c62516994e1e8bdffbe64bbce3fac,US government source; file-specific redistribution not re-adjudicated,do not commit raw bytes,receptor data and released CMB objects,provenance carried forward from reviewed dossier
nfraqs_dri_volume_b,DRI NFRAQS Volume B,https://nfraqs.research.colostate.edu/Files/Final/DRIVolB.pdf,2026-08-28,ffdd40d21994579897f2afedc03a288a4d91fac6cdb6c7dfb82b3aaead80c4d1,rights not independently verified,do not commit raw bytes,numerical profiles and one-sigma uncertainties,source of six exact 121-species profiles
nfraqs_dri_chapter_7,DRI NFRAQS Chapter 7,https://nfraqs.research.colostate.edu/Files/Final/DRICh7.pdf,2026-08-28,77c598d7189fb4ceb8caa4bf60fe0335f86b4044239f6123986bedb21a1ebc7d,rights not independently verified,do not commit raw bytes,published CMB-versus-radiocarbon comparison,does not define the CMB-side fM arithmetic
nfraqs_nist_report,NIST NFRAQS radiocarbon final report,https://nfraqs.research.colostate.edu/Files/Final/NISTFinalRep.pdf,2026-08-28,da2cd45bac25d51c15cfeb1f945bd1c0c1eee7daf779bc4a251a0bf7f7e14ddb,US government report; file-specific redistribution not re-adjudicated,do not commit raw bytes,radiocarbon equations and endmember caveats,radiocarbon-side equations recovered
libby_article,Ward et al. 2006 Libby PM2.5 source-apportionment study,https://doi.org/10.1080/02786820500494536,2026-09-20,,publisher article; table downloads were audited previously,metadata and derived audit only,sample-dated CMB and radiocarbon tables,public tables omit the numerical rerun inputs
fairbanks_report,Ward et al. 2013 Fairbanks CMB final report,https://dec.alaska.gov/media/17116/fairbanks-cmb-final-report-122313.pdf,2026-09-20,9d71371a413b517a4cbaa441be01477bab4ef58d831aac55caab5c0658ca534e,Alaska DEC public report; redistribution terms not stated,do not commit raw bytes,profiles methods and final daily outputs,"171 pages; outcome-guided combinations and missing receptor/exact final selector block reproduction"
fairbanks_comparison,Busby et al. 2016 Fairbanks wood-smoke comparison,https://doi.org/10.4209/aaqr.2015.04.0235,2026-09-20,,journal article; redistribution terms not re-adjudicated,metadata only,CMB compared with levoglucosan and radiocarbon,comparison is not released as a complete profile-resolved package
school_bus_larson,Larson et al. 2011 EVDA-CMB school-bus analysis,https://doi.org/10.5094/APR.2011.019,2026-09-20,30c98a7040a716d5284a543c8eb08a0be25be56861c24b884bedb0e71235923c,CC BY 3.0 stated in article,hash only; retrieval script downloads outside repository,eight-run CMB and synthetic-tracer comparison,downloaded from a public scholarly mirror recorded in retrieval script
school_bus_liu,Liu et al. 2010 school-bus three-method study,https://pmc.ncbi.nlm.nih.gov/articles/PMC2914332/,2026-09-20,b3be866ac36fdf5552343d515c105abe8e648a2f32ce19f5ac835e7da8f699c0,author manuscript in PMC; OA-package status unavailable,hash only; retrieval script downloads JATS outside repository,synthetic dual-tracer method and study context,"hash is for NCBI E-utilities JATS XML; supplementary DOC files were not programmatically retrievable"
tennessee_valley,Ke et al. 2007 Tennessee Valley CMB and radiocarbon study,https://doi.org/10.1016/j.atmosenv.2007.08.024,2026-09-20,,publisher article,metadata only,aggregate CMB and radiocarbon comparison,no public profile-resolved numerical package recovered
shenzhen,Al-Naiema et al. 2018 Shenzhen CMB and radiocarbon study,https://doi.org/10.1016/j.envpol.2018.04.071,2026-09-20,,publisher article; dissertation chapter discoverable but signed download expired,metadata only,24-day two-site CMB and radiocarbon comparison,no complete sample-level CMB input/profile package recovered
fresno_supersite,Schauer and Cass 2007 Fresno Supersite source apportionment,https://acp.copernicus.org/articles/7/1741/2007/,2026-09-20,,CC BY journal article,metadata only,open field CMB case,no same-sample independent source-discriminating reference in the study
